class_id,tamil_char,codepoints,precision,recall,f1_score,support
87,ல,U+0BB2,0.8400,0.8167,0.8282,180.0
88,லி,U+0BB2 U+0BBF,0.7778,0.3889,0.5185,180.0
89,லீ,U+0BB2 U+0BC0,0.9808,0.2833,0.4397,180.0
90,லு,U+0BB2 U+0BC1,0.7791,0.7444,0.7614,180.0
91,லூ,U+0BB2 U+0BC2,0.8987,0.7889,0.8402,180.0
92,ள்,U+0BB3 U+0BCD,0.9200,0.7667,0.8364,180.0
93,ள,U+0BB3,0.9587,0.6444,0.7708,180.0
94,ளி,U+0BB3 U+0BBF,0.7500,0.7167,0.7330,180.0
95,ளீ,U+0BB3 U+0BC0,0.7562,0.8444,0.7979,180.0
96,ளு,U+0BB3 U+0BC1,0.4175,0.4500,0.4332,180.0
97,ளூ,U+0BB3 U+0BC2,0.3721,0.5333,0.4384,180.0
98,ற்,U+0BB1 U+0BCD,0.8118,0.8389,0.8251,180.0
99,ற,U+0BB1,0.9118,0.8611,0.8857,180.0
100,றி,U+0BB1 U+0BBF,0.5939,0.7556,0.6650,180.0
101,றீ,U+0BB1 U+0BC0,0.6612,0.8889,0.7583,180.0
102,று,U+0BB1 U+0BC1,0.7000,0.7778,0.7368,180.0
103,றூ,U+0BB1 U+0BC2,0.5047,0.8889,0.6439,180.0
104,வ்,U+0BB5 U+0BCD,0.8539,0.8444,0.8492,180.0
105,வ,U+0BB5,0.6777,0.7944,0.7315,180.0
106,வி,U+0BB5 U+0BBF,0.4301,0.9222,0.5866,180.0
107,வீ,U+0BB5 U+0BC0,0.8561,0.6611,0.7461,180.0
108,வு,U+0BB5 U+0BC1,0.9398,0.8667,0.9017,180.0
109,வூ,U+0BB5 U+0BC2,0.7476,0.8556,0.7979,180.0
110,ழ்,U+0BB4 U+0BCD,0.6623,0.8500,0.7445,180.0
111,ழ,U+0BB4,0.8276,0.5333,0.6486,180.0
112,ழி,U+0BB4 U+0BBF,0.7346,0.8611,0.7928,180.0
113,ழீ,U+0BB4 U+0BC0,0.8110,0.7389,0.7733,180.0
114,ழு,U+0BB4 U+0BC1,0.7073,0.4833,0.5743,180.0
