class_id,tamil_char,codepoints,precision,recall,f1_score,support
87,ல,U+0BB2,0.9119,0.9778,0.9437,180.0
88,லி,U+0BB2 U+0BBF,0.9422,0.9056,0.9235,180.0
89,லீ,U+0BB2 U+0BC0,0.9471,0.8944,0.9200,180.0
90,லு,U+0BB2 U+0BC1,0.9778,0.9778,0.9778,180.0
91,லூ,U+0BB2 U+0BC2,0.9780,0.9889,0.9834,180.0
92,ள்,U+0BB3 U+0BCD,0.9778,0.9778,0.9778,180.0
93,ள,U+0BB3,0.9563,0.9722,0.9642,180.0
94,ளி,U+0BB3 U+0BBF,0.9348,0.9556,0.9451,180.0
95,ளீ,U+0BB3 U+0BC0,0.9486,0.9222,0.9352,180.0
96,ளு,U+0BB3 U+0BC1,0.7071,0.9389,0.8067,180.0
97,ளூ,U+0BB3 U+0BC2,0.9549,0.7056,0.8115,180.0
98,ற்,U+0BB1 U+0BCD,0.9708,0.9222,0.9459,180.0
99,ற,U+0BB1,1.0000,0.9722,0.9859,180.0
100,றி,U+0BB1 U+0BBF,0.9457,0.9667,0.9560,180.0
101,றீ,U+0BB1 U+0BC0,0.9459,0.9722,0.9589,180.0
102,று,U+0BB1 U+0BC1,0.9558,0.9611,0.9584,180.0
103,றூ,U+0BB1 U+0BC2,0.9719,0.9611,0.9665,180.0
104,வ்,U+0BB5 U+0BCD,0.9651,0.9222,0.9432,180.0
105,வ,U+0BB5,0.9048,0.9500,0.9268,180.0
106,வி,U+0BB5 U+0BBF,0.9222,0.9222,0.9222,180.0
107,வீ,U+0BB5 U+0BC0,0.9189,0.9444,0.9315,180.0
108,வு,U+0BB5 U+0BC1,0.9465,0.9833,0.9646,180.0
109,வூ,U+0BB5 U+0BC2,0.9607,0.9500,0.9553,180.0
110,ழ்,U+0BB4 U+0BCD,0.9639,0.8889,0.9249,180.0
111,ழ,U+0BB4,0.9827,0.9444,0.9632,180.0
112,ழி,U+0BB4 U+0BBF,0.9312,0.9778,0.9539,180.0
113,ழீ,U+0BB4 U+0BC0,0.9448,0.9500,0.9474,180.0
114,ழு,U+0BB4 U+0BC1,0.8870,0.8722,0.8796,180.0
115,ழூ,U+0BB4 U+0BC2,0.9333,0.7778,0.8485,180.0
116,ன்,U+0BA9 U+0BCD,0.9448,0.9500,0.9474,180.0
117,ன,U+0BA9,0.9578,0.8833,0.9191,180.0
118,னி,U+0BA9 U+0BBF,0.8811,0.9056,0.8932,180.0
119,னீ,U+0BA9 U+0BC0,0.9293,0.9500,0.9396,180.0
120,னு,U+0BA9 U+0BC1,0.9294,0.8778,0.9029,180.0
121,ஷி,U+0BB7 U+0BBF,0.9282,0.9333,0.9307,180.0
122,ஷீ,U+0BB7 U+0BC0,0.8757,0.9000,0.8877,180.0
123,ஷு,U+0BB7 U+0BC1,0.8696,0.8889,0.8791,180.0
124,ஷூ,U+0BB7 U+0BC2,0.9471,0.8944,0.9200,180.0
125,க்ஷ,U+0B95 U+0BCD U+0BB7,0.9293,0.9500,0.9396,180.0
126,க்ஷ்,U+0B95 U+0BCD U+0BB7 U+0BCD,0.9716,0.9500,0.9607,180.0
127,க்ஷி,U+0B95 U+0BCD U+0BB7 U+0BBF,0.9005,0.9556,0.9272,180.0
128,க்ஷீ,U+0B95 U+0BCD U+0BB7 U+0BC0,0.8889,0.7111,0.7901,180.0
129,ஜு,U+0B9C U+0BC1,0.8571,0.7333,0.7904,180.0
130,ஜூ,U+0B9C U+0BC2,0.8976,0.8278,0.8613,180.0
131,ஹ,U+0BB9,0.9206,0.9667,0.9431,180.0
132,ஹ்,U+0BB9 U+0BCD,0.9663,0.9556,0.9609,180.0
133,ஹி,U+0BB9 U+0BBF,0.9179,0.9944,0.9547,180.0
134,ஹீ,U+0BB9 U+0BC0,0.8119,0.9111,0.8586,180.0
135,ஹு,U+0BB9 U+0BC1,0.8765,0.7889,0.8304,180.0
136,ஹூ,U+0BB9 U+0BC2,0.8966,0.8667,0.8814,180.0
137,ஸ,U+0BB8,0.9418,0.9889,0.9648,180.0
138,ஸ்,U+0BB8 U+0BCD,1.0000,0.9500,0.9744,180.0
139,ஸி,U+0BB8 U+0BBF,0.9010,0.9611,0.9301,180.0
