class_id,tamil_char,codepoints,precision,recall,f1_score,support
87,ல,U+0BB2,0.7418,0.8778,0.8041,180.0
88,லி,U+0BB2 U+0BBF,0.8957,0.5722,0.6983,180.0
89,லீ,U+0BB2 U+0BC0,0.7888,0.7056,0.7449,180.0
90,லு,U+0BB2 U+0BC1,0.8081,0.8889,0.8466,180.0
91,லூ,U+0BB2 U+0BC2,0.9267,0.7722,0.8424,180.0
92,ள்,U+0BB3 U+0BCD,0.8021,0.8333,0.8174,180.0
93,ள,U+0BB3,0.6909,0.8444,0.7600,180.0
94,ளி,U+0BB3 U+0BBF,0.7166,0.7444,0.7302,180.0
95,ளீ,U+0BB3 U+0BC0,0.8210,0.7389,0.7778,180.0
96,ளு,U+0BB3 U+0BC1,0.4186,0.8000,0.5496,180.0
97,ளூ,U+0BB3 U+0BC2,0.8632,0.4556,0.5964,180.0
98,ற்,U+0BB1 U+0BCD,0.7056,0.7722,0.7374,180.0
99,ற,U+0BB1,0.9437,0.8389,0.8882,180.0
100,றி,U+0BB1 U+0BBF,0.6318,0.9056,0.7443,180.0
101,றீ,U+0BB1 U+0BC0,0.8056,0.8056,0.8056,180.0
102,று,U+0BB1 U+0BC1,0.7429,0.7222,0.7324,180.0
103,றூ,U+0BB1 U+0BC2,0.6033,0.8111,0.6919,180.0
104,வ்,U+0BB5 U+0BCD,0.9209,0.7111,0.8025,180.0
105,வ,U+0BB5,0.8242,0.8333,0.8287,180.0
106,வி,U+0BB5 U+0BBF,0.5201,0.8611,0.6485,180.0
107,வீ,U+0BB5 U+0BC0,0.8898,0.6278,0.7362,180.0
108,வு,U+0BB5 U+0BC1,0.8698,0.9278,0.8978,180.0
109,வூ,U+0BB5 U+0BC2,0.6269,0.9333,0.7500,180.0
110,ழ்,U+0BB4 U+0BCD,0.7326,0.7611,0.7466,180.0
111,ழ,U+0BB4,0.6364,0.8167,0.7153,180.0
112,ழி,U+0BB4 U+0BBF,0.8352,0.8167,0.8258,180.0
113,ழீ,U+0BB4 U+0BC0,0.8293,0.7556,0.7907,180.0
114,ழு,U+0BB4 U+0BC1,0.6099,0.7556,0.6749,180.0
115,ழூ,U+0BB4 U+0BC2,0.8879,0.5278,0.6620,180.0
116,ன்,U+0BA9 U+0BCD,0.8850,0.5556,0.6826,180.0
117,ன,U+0BA9,0.6839,0.5889,0.6328,180.0
118,னி,U+0BA9 U+0BBF,0.4315,0.8056,0.5620,180.0
119,னீ,U+0BA9 U+0BC0,0.6599,0.7222,0.6897,180.0
120,னு,U+0BA9 U+0BC1,0.7436,0.4833,0.5859,180.0
121,ஷி,U+0BB7 U+0BBF,0.8037,0.7278,0.7638,180.0
122,ஷீ,U+0BB7 U+0BC0,0.9339,0.6278,0.7508,180.0
123,ஷு,U+0BB7 U+0BC1,0.4908,0.7389,0.5898,180.0
124,ஷூ,U+0BB7 U+0BC2,0.6692,0.4833,0.5613,180.0
125,க்ஷ,U+0B95 U+0BCD U+0BB7,0.6257,0.6222,0.6240,180.0
126,க்ஷ்,U+0B95 U+0BCD U+0BB7 U+0BCD,0.5862,0.5667,0.5763,180.0
127,க்ஷி,U+0B95 U+0BCD U+0BB7 U+0BBF,0.8000,0.7556,0.7771,180.0
128,க்ஷீ,U+0B95 U+0BCD U+0BB7 U+0BC0,0.6125,0.5444,0.5765,180.0
129,ஜு,U+0B9C U+0BC1,0.6449,0.4944,0.5597,180.0
130,ஜூ,U+0B9C U+0BC2,0.7007,0.5333,0.6057,180.0
131,ஹ,U+0BB9,0.8824,0.8333,0.8571,180.0
132,ஹ்,U+0BB9 U+0BCD,0.9167,0.7944,0.8512,180.0
133,ஹி,U+0BB9 U+0BBF,0.7903,0.8167,0.8033,180.0
134,ஹீ,U+0BB9 U+0BC0,0.7314,0.7111,0.7211,180.0
135,ஹு,U+0BB9 U+0BC1,0.6316,0.6000,0.6154,180.0
136,ஹூ,U+0BB9 U+0BC2,0.7500,0.5667,0.6456,180.0
137,ஸ,U+0BB8,0.9259,0.6944,0.7937,180.0
138,ஸ்,U+0BB8 U+0BCD,0.9762,0.6833,0.8039,180.0
139,ஸி,U+0BB8 U+0BBF,0.7989,0.7944,0.7967,180.0
140,ஸீ,U+0BB8 U+0BC0,0.7802,0.7889,0.7845,180.0
141,ஸு,U+0BB8 U+0BC1,0.7569,0.7611,0.7590,180.0
142,ஸூ,U+0BB8 U+0BC2,0.8039,0.6833,0.7387,180.0
143,ஷ,U+0BB7,0.7941,0.7500,0.7714,180.0
144,ஷ்,U+0BB7 U+0BCD,0.7528,0.7444,0.7486,180.0
145,னூ,U+0BA9 U+0BC2,0.6243,0.6556,0.6396,180.0
146,ஸ்ரீ,U+0BB8 U+0BCD U+0BB0 U+0BC0,0.9586,0.7722,0.8554,180.0
147,க்ஷூ,U+0B95 U+0BCD U+0BB7 U+0BC2,0.7273,0.7556,0.7411,180.0
148,ஜ,U+0B9C,0.7958,0.8444,0.8194,180.0
149,ஜ்,U+0B9C U+0BCD,0.8796,0.9333,0.9057,180.0
150,ஜி,U+0B9C U+0BBF,0.8182,0.9000,0.8571,180.0
151,ஜீ,U+0B9C U+0BC0,0.7042,0.8333,0.7634,180.0
152,க்ஷு,U+0B95 U+0BCD U+0BB7 U+0BC1,0.5572,0.6222,0.5879,180.0
153,ெ,U+0BC6,0.8033,0.8167,0.8099,180.0
154,ே,U+0BC7,0.9452,0.7667,0.8466,180.0
155,ை,U+0BC8,0.5217,0.8667,0.6514,180.0
