class_id,tamil_char,codepoints,precision,recall,f1_score,support
87,ல,U+0BB2,0.7512,0.8389,0.7927,180.0
88,லி,U+0BB2 U+0BBF,0.5972,0.7167,0.6515,180.0
89,லீ,U+0BB2 U+0BC0,0.6348,0.6278,0.6313,180.0
90,லு,U+0BB2 U+0BC1,0.5563,0.8778,0.6810,180.0
91,லூ,U+0BB2 U+0BC2,0.8289,0.7000,0.7590,180.0
92,ள்,U+0BB3 U+0BCD,0.8487,0.7167,0.7771,180.0
93,ள,U+0BB3,0.7684,0.7556,0.7619,180.0
94,ளி,U+0BB3 U+0BBF,0.8194,0.6556,0.7284,180.0
95,ளீ,U+0BB3 U+0BC0,0.7857,0.7333,0.7586,180.0
96,ளு,U+0BB3 U+0BC1,0.5290,0.7611,0.6241,180.0
97,ளூ,U+0BB3 U+0BC2,0.9565,0.3667,0.5301,180.0
98,ற்,U+0BB1 U+0BCD,0.7363,0.7444,0.7403,180.0
99,ற,U+0BB1,0.6967,0.9444,0.8019,180.0
100,றி,U+0BB1 U+0BBF,0.6802,0.8389,0.7512,180.0
101,றீ,U+0BB1 U+0BC0,0.7840,0.7056,0.7427,180.0
102,று,U+0BB1 U+0BC1,0.7778,0.5444,0.6405,180.0
103,றூ,U+0BB1 U+0BC2,0.5866,0.8278,0.6866,180.0
104,வ்,U+0BB5 U+0BCD,0.6912,0.8333,0.7557,180.0
105,வ,U+0BB5,0.7186,0.7944,0.7546,180.0
106,வி,U+0BB5 U+0BBF,0.4878,0.7778,0.5996,180.0
107,வீ,U+0BB5 U+0BC0,0.7278,0.7278,0.7278,180.0
108,வு,U+0BB5 U+0BC1,0.8947,0.7556,0.8193,180.0
109,வூ,U+0BB5 U+0BC2,0.7680,0.8278,0.7968,180.0
110,ழ்,U+0BB4 U+0BCD,0.7870,0.7389,0.7622,180.0
111,ழ,U+0BB4,0.7988,0.7278,0.7616,180.0
112,ழி,U+0BB4 U+0BBF,0.8767,0.7111,0.7853,180.0
113,ழீ,U+0BB4 U+0BC0,0.8344,0.7278,0.7774,180.0
114,ழு,U+0BB4 U+0BC1,0.5360,0.7444,0.6233,180.0
115,ழூ,U+0BB4 U+0BC2,0.7157,0.4056,0.5177,180.0
116,ன்,U+0BA9 U+0BCD,0.7403,0.6333,0.6826,180.0
117,ன,U+0BA9,0.5214,0.6778,0.5894,180.0
118,னி,U+0BA9 U+0BBF,0.6408,0.7333,0.6839,180.0
119,னீ,U+0BA9 U+0BC0,0.6396,0.7000,0.6684,180.0
120,னு,U+0BA9 U+0BC1,0.6364,0.5444,0.5868,180.0
121,ஷி,U+0BB7 U+0BBF,0.8046,0.7778,0.7910,180.0
122,ஷீ,U+0BB7 U+0BC0,0.6373,0.6833,0.6595,180.0
123,ஷு,U+0BB7 U+0BC1,0.7222,0.6500,0.6842,180.0
124,ஷூ,U+0BB7 U+0BC2,0.8261,0.5278,0.6441,180.0
125,க்ஷ,U+0B95 U+0BCD U+0BB7,0.7983,0.5278,0.6355,180.0
126,க்ஷ்,U+0B95 U+0BCD U+0BB7 U+0BCD,0.5805,0.7611,0.6587,180.0
127,க்ஷி,U+0B95 U+0BCD U+0BB7 U+0BBF,0.7514,0.7389,0.7451,180.0
128,க்ஷீ,U+0B95 U+0BCD U+0BB7 U+0BC0,0.6842,0.5778,0.6265,180.0
129,ஜு,U+0B9C U+0BC1,0.7652,0.5611,0.6474,180.0
130,ஜூ,U+0B9C U+0BC2,0.7578,0.6778,0.7155,180.0
131,ஹ,U+0BB9,0.8889,0.7556,0.8168,180.0
132,ஹ்,U+0BB9 U+0BCD,0.7887,0.8500,0.8182,180.0
133,ஹி,U+0BB9 U+0BBF,0.7684,0.8111,0.7892,180.0
134,ஹீ,U+0BB9 U+0BC0,0.7167,0.7167,0.7167,180.0
135,ஹு,U+0BB9 U+0BC1,0.7174,0.5500,0.6226,180.0
136,ஹூ,U+0BB9 U+0BC2,0.6214,0.7111,0.6632,180.0
137,ஸ,U+0BB8,0.6667,0.8778,0.7578,180.0
138,ஸ்,U+0BB8 U+0BCD,0.9097,0.7278,0.8086,180.0
139,ஸி,U+0BB8 U+0BBF,0.7353,0.8333,0.7812,180.0
140,ஸீ,U+0BB8 U+0BC0,0.9462,0.4889,0.6447,180.0
141,ஸு,U+0BB8 U+0BC1,0.8431,0.7167,0.7748,180.0
142,ஸூ,U+0BB8 U+0BC2,0.7758,0.7111,0.7420,180.0
143,ஷ,U+0BB7,0.8219,0.6667,0.7362,180.0
144,ஷ்,U+0BB7 U+0BCD,0.8451,0.6667,0.7453,180.0
145,னூ,U+0BA9 U+0BC2,0.6221,0.5944,0.6080,180.0
146,ஸ்ரீ,U+0BB8 U+0BCD U+0BB0 U+0BC0,0.9854,0.7500,0.8517,180.0
147,க்ஷூ,U+0B95 U+0BCD U+0BB7 U+0BC2,0.6652,0.8500,0.7463,180.0
148,ஜ,U+0B9C,0.8759,0.7056,0.7815,180.0
149,ஜ்,U+0B9C U+0BCD,0.7857,0.9167,0.8462,180.0
150,ஜி,U+0B9C U+0BBF,0.9559,0.7222,0.8228,180.0
151,ஜீ,U+0B9C U+0BC0,0.5945,0.8389,0.6959,180.0
152,க்ஷு,U+0B95 U+0BCD U+0BB7 U+0BC1,0.6600,0.5500,0.6000,180.0
153,ெ,U+0BC6,0.7463,0.8500,0.7948,180.0
154,ே,U+0BC7,0.9773,0.7167,0.8269,180.0
155,ை,U+0BC8,0.6085,0.6389,0.6233,180.0
